date_key,date_value,year,quarter,month,month_label,week_of_year,day_of_month,day_of_week,is_weekend
20250201,2025-02-01,2025,Q1,2,2025-02,5,1,6,1
20250202,2025-02-02,2025,Q1,2,2025-02,5,2,7,1
20250203,2025-02-03,2025,Q1,2,2025-02,6,3,1,0
20250204,2025-02-04,2025,Q1,2,2025-02,6,4,2,0
20250205,2025-02-05,2025,Q1,2,2025-02,6,5,3,0
20250206,2025-02-06,2025,Q1,2,2025-02,6,6,4,0
20250207,2025-02-07,2025,Q1,2,2025-02,6,7,5,0
20250208,2025-02-08,2025,Q1,2,2025-02,6,8,6,1
20250209,2025-02-09,2025,Q1,2,2025-02,6,9,7,1
20250210,2025-02-10,2025,Q1,2,2025-02,7,10,1,0
20250211,2025-02-11,2025,Q1,2,2025-02,7,11,2,0
20250212,2025-02-12,2025,Q1,2,2025-02,7,12,3,0
20250213,2025-02-13,2025,Q1,2,2025-02,7,13,4,0
20250214,2025-02-14,2025,Q1,2,2025-02,7,14,5,0
20250215,2025-02-15,2025,Q1,2,2025-02,7,15,6,1
20250216,2025-02-16,2025,Q1,2,2025-02,7,16,7,1
20250217,2025-02-17,2025,Q1,2,2025-02,8,17,1,0
20250218,2025-02-18,2025,Q1,2,2025-02,8,18,2,0
20250219,2025-02-19,2025,Q1,2,2025-02,8,19,3,0
20250220,2025-02-20,2025,Q1,2,2025-02,8,20,4,0
20250221,2025-02-21,2025,Q1,2,2025-02,8,21,5,0
20250222,2025-02-22,2025,Q1,2,2025-02,8,22,6,1
20250223,2025-02-23,2025,Q1,2,2025-02,8,23,7,1
20250224,2025-02-24,2025,Q1,2,2025-02,9,24,1,0
20250225,2025-02-25,2025,Q1,2,2025-02,9,25,2,0
20250226,2025-02-26,2025,Q1,2,2025-02,9,26,3,0
20250227,2025-02-27,2025,Q1,2,2025-02,9,27,4,0
20250228,2025-02-28,2025,Q1,2,2025-02,9,28,5,0
20250301,2025-03-01,2025,Q1,3,2025-03,9,1,6,1
20250302,2025-03-02,2025,Q1,3,2025-03,9,2,7,1
20250303,2025-03-03,2025,Q1,3,2025-03,10,3,1,0
20250304,2025-03-04,2025,Q1,3,2025-03,10,4,2,0
20250305,2025-03-05,2025,Q1,3,2025-03,10,5,3,0
20250306,2025-03-06,2025,Q1,3,2025-03,10,6,4,0
20250307,2025-03-07,2025,Q1,3,2025-03,10,7,5,0
20250308,2025-03-08,2025,Q1,3,2025-03,10,8,6,1
20250309,2025-03-09,2025,Q1,3,2025-03,10,9,7,1
20250310,2025-03-10,2025,Q1,3,2025-03,11,10,1,0
20250311,2025-03-11,2025,Q1,3,2025-03,11,11,2,0
20250312,2025-03-12,2025,Q1,3,2025-03,11,12,3,0
20250313,2025-03-13,2025,Q1,3,2025-03,11,13,4,0
20250314,2025-03-14,2025,Q1,3,2025-03,11,14,5,0
20250315,2025-03-15,2025,Q1,3,2025-03,11,15,6,1
20250316,2025-03-16,2025,Q1,3,2025-03,11,16,7,1
20250317,2025-03-17,2025,Q1,3,2025-03,12,17,1,0
20250318,2025-03-18,2025,Q1,3,2025-03,12,18,2,0
20250319,2025-03-19,2025,Q1,3,2025-03,12,19,3,0
20250320,2025-03-20,2025,Q1,3,2025-03,12,20,4,0
20250321,2025-03-21,2025,Q1,3,2025-03,12,21,5,0
20250322,2025-03-22,2025,Q1,3,2025-03,12,22,6,1
20250323,2025-03-23,2025,Q1,3,2025-03,12,23,7,1
20250324,2025-03-24,2025,Q1,3,2025-03,13,24,1,0
20250325,2025-03-25,2025,Q1,3,2025-03,13,25,2,0
20250326,2025-03-26,2025,Q1,3,2025-03,13,26,3,0
20250327,2025-03-27,2025,Q1,3,2025-03,13,27,4,0
20250328,2025-03-28,2025,Q1,3,2025-03,13,28,5,0
20250329,2025-03-29,2025,Q1,3,2025-03,13,29,6,1
20250330,2025-03-30,2025,Q1,3,2025-03,13,30,7,1
20250331,2025-03-31,2025,Q1,3,2025-03,14,31,1,0
20250401,2025-04-01,2025,Q2,4,2025-04,14,1,2,0
20250402,2025-04-02,2025,Q2,4,2025-04,14,2,3,0
20250403,2025-04-03,2025,Q2,4,2025-04,14,3,4,0
20250404,2025-04-04,2025,Q2,4,2025-04,14,4,5,0
20250405,2025-04-05,2025,Q2,4,2025-04,14,5,6,1
20250406,2025-04-06,2025,Q2,4,2025-04,14,6,7,1
20250407,2025-04-07,2025,Q2,4,2025-04,15,7,1,0
20250408,2025-04-08,2025,Q2,4,2025-04,15,8,2,0
20250409,2025-04-09,2025,Q2,4,2025-04,15,9,3,0
20250410,2025-04-10,2025,Q2,4,2025-04,15,10,4,0
20250411,2025-04-11,2025,Q2,4,2025-04,15,11,5,0
20250412,2025-04-12,2025,Q2,4,2025-04,15,12,6,1
20250413,2025-04-13,2025,Q2,4,2025-04,15,13,7,1
20250414,2025-04-14,2025,Q2,4,2025-04,16,14,1,0
20250415,2025-04-15,2025,Q2,4,2025-04,16,15,2,0
20250416,2025-04-16,2025,Q2,4,2025-04,16,16,3,0
20250417,2025-04-17,2025,Q2,4,2025-04,16,17,4,0
20250418,2025-04-18,2025,Q2,4,2025-04,16,18,5,0
20250419,2025-04-19,2025,Q2,4,2025-04,16,19,6,1
20250420,2025-04-20,2025,Q2,4,2025-04,16,20,7,1
20250421,2025-04-21,2025,Q2,4,2025-04,17,21,1,0
20250422,2025-04-22,2025,Q2,4,2025-04,17,22,2,0
20250423,2025-04-23,2025,Q2,4,2025-04,17,23,3,0
20250424,2025-04-24,2025,Q2,4,2025-04,17,24,4,0
20250425,2025-04-25,2025,Q2,4,2025-04,17,25,5,0
20250426,2025-04-26,2025,Q2,4,2025-04,17,26,6,1
20250427,2025-04-27,2025,Q2,4,2025-04,17,27,7,1
20250428,2025-04-28,2025,Q2,4,2025-04,18,28,1,0
20250429,2025-04-29,2025,Q2,4,2025-04,18,29,2,0
20250430,2025-04-30,2025,Q2,4,2025-04,18,30,3,0
20250501,2025-05-01,2025,Q2,5,2025-05,18,1,4,0
