progress_id,ship_no,process_code,workshop_code,period_date,plan_qty,actual_qty,complete_rate,deviation_rate,delay_days,risk_level,batch_code,quality_pass_qty,rework_qty,source_type,anomaly_flag
P0000001,H2601,YCL,WSA,2025-02-01,27.56,26.11,0.9474,-0.0526,2,中,批次01-202502,25.85,0.26,衍生模拟,
P0000002,H2601,YCL,WSB,2025-02-01,27.28,25.67,0.941,-0.059,2,中,批次01-202502,25.35,0.32,衍生模拟,
P0000003,H2601,ZZTP,WSC,2025-02-01,23.81,21.93,0.921,-0.079,2,中,批次01-202502,21.4,0.53,衍生模拟,
P0000004,H2601,ZZTP,WSD,2025-02-01,19.46,17.86,0.9178,-0.0822,2,中,批次01-202502,17.71,0.15,衍生模拟,
P0000005,H2601,AZTP,WSE,2025-02-01,16.68,16.22,0.9724,-0.0276,1,低,批次01-202502,15.72,0.5,衍生模拟,
P0000006,H2601,AZTP,WSF,2025-02-01,16.76,16.49,0.9839,-0.0161,0,低,批次01-202502,16.03,0.46,衍生模拟,
P0000007,H2602,YCL,WSA,2025-02-01,29.92,26.33,0.88,-0.12,3,中,批次01-202502,25.83,0.5,衍生模拟,
P0000008,H2602,YCL,WSB,2025-02-01,27.77,24.44,0.8801,-0.1199,3,中,批次01-202502,23.83,0.61,衍生模拟,
P0000009,H2602,ZZTP,WSC,2025-02-01,21.74,19.27,0.8864,-0.1136,3,中,批次01-202502,18.62,0.65,衍生模拟,
P0000010,H2602,ZZTP,WSD,2025-02-01,22.89,20.27,0.8855,-0.1145,3,中,批次01-202502,19.58,0.69,衍生模拟,
P0000011,H2602,AZTP,WSE,2025-02-01,16.43,16.06,0.9775,-0.0225,1,低,批次01-202502,15.58,0.48,衍生模拟,
P0000012,H2602,AZTP,WSF,2025-02-01,15.19,14.88,0.9796,-0.0204,1,低,批次01-202502,14.38,0.5,衍生模拟,
P0000013,H2603,YCL,WSA,2025-02-01,29.65,30.45,1.027,0.027,0,低,批次02-202502,29.4,1.05,衍生模拟,
P0000014,H2603,YCL,WSB,2025-02-01,28.8,29.36,1.0194,0.0194,0,低,批次02-202502,29.05,0.31,衍生模拟,
P0000015,H2603,ZZTP,WSC,2025-02-01,22.68,22.02,0.9709,-0.0291,1,低,批次02-202502,21.26,0.76,衍生模拟,
P0000016,H2603,ZZTP,WSD,2025-02-01,19.53,18.82,0.9636,-0.0364,1,低,批次02-202502,18.65,0.17,衍生模拟,
P0000017,H2603,AZTP,WSE,2025-02-01,18.04,16.87,0.9351,-0.0649,2,中,批次02-202502,16.44,0.43,衍生模拟,
P0000018,H2603,AZTP,WSF,2025-02-01,15.82,14.68,0.9279,-0.0721,2,中,批次02-202502,14.33,0.35,衍生模拟,
P0000019,H2604,YCL,WSA,2025-02-01,37.1,36.35,0.9798,-0.0202,1,低,批次02-202502,35.35,1,衍生模拟,
P0000020,H2604,YCL,WSB,2025-02-01,29.46,29.09,0.9874,-0.0126,0,低,批次02-202502,28.87,0.22,衍生模拟,
P0000021,H2604,ZZTP,WSC,2025-02-01,25.28,23.91,0.9458,-0.0542,2,中,批次02-202502,23.59,0.32,衍生模拟,
P0000022,H2604,ZZTP,WSD,2025-02-01,24.16,23.16,0.9586,-0.0414,1,低,批次02-202502,23.04,0.12,衍生模拟,
P0000023,H2604,AZTP,WSE,2025-02-01,22.82,23.32,1.0219,0.0219,0,低,批次02-202502,22.76,0.56,衍生模拟,
P0000024,H2604,AZTP,WSF,2025-02-01,20.44,20.95,1.025,0.025,0,低,批次02-202502,20.4,0.55,衍生模拟,
P0000025,H2605,YCL,WSA,2025-02-01,36.12,36.04,0.9978,-0.0022,0,低,批次03-202502,35.47,0.57,衍生模拟,
P0000026,H2605,YCL,WSB,2025-02-01,34.71,35.04,1.0095,0.0095,0,低,批次03-202502,34.86,0.18,衍生模拟,
P0000027,H2605,ZZTP,WSC,2025-02-01,26.54,26.79,1.0094,0.0094,0,低,批次03-202502,25.96,0.83,衍生模拟,
P0000028,H2605,ZZTP,WSD,2025-02-01,22.79,22.91,1.0053,0.0053,0,低,批次03-202502,22.49,0.42,衍生模拟,
P0000029,H2605,AZTP,WSE,2025-02-01,21.2,19.18,0.9047,-0.0953,2,中,批次03-202502,18.85,0.33,衍生模拟,
P0000030,H2605,AZTP,WSF,2025-02-01,20.59,18.76,0.9111,-0.0889,2,中,批次03-202502,18.2,0.56,衍生模拟,
P0000031,H2606,YCL,WSA,2025-02-01,39.37,39.82,1.0114,0.0114,0,低,批次03-202502,38.65,1.17,衍生模拟,
P0000032,H2606,YCL,WSB,2025-02-01,30.26,30.58,1.0106,0.0106,0,低,批次03-202502,29.59,0.99,衍生模拟,
P0000033,H2606,ZZTP,WSC,2025-02-01,26.58,25.89,0.974,-0.026,1,低,批次03-202502,25.4,0.49,衍生模拟,
P0000034,H2606,ZZTP,WSD,2025-02-01,25.07,24.26,0.9677,-0.0323,1,低,批次03-202502,24.13,0.13,衍生模拟,
P0000035,H2606,AZTP,WSE,2025-02-01,19.03,18.4,0.9669,-0.0331,1,低,批次03-202502,17.92,0.48,衍生模拟,
P0000036,H2606,AZTP,WSF,2025-02-01,20.87,20.29,0.9722,-0.0278,1,低,批次03-202502,19.93,0.36,衍生模拟,
P0000037,H2601,YCL,WSA,2025-02-02,34,32.05,0.9426,-0.0574,2,中,批次01-202502,30.94,1.11,衍生模拟,
P0000038,H2601,YCL,WSB,2025-02-02,27.56,25.81,0.9365,-0.0635,2,中,批次01-202502,25.22,0.59,衍生模拟,
P0000039,H2601,ZZTP,WSC,2025-02-02,21.47,19.68,0.9166,-0.0834,2,中,批次01-202502,19.25,0.43,衍生模拟,
P0000040,H2601,ZZTP,WSD,2025-02-02,19.55,18.03,0.9223,-0.0777,2,中,批次01-202502,17.79,0.24,衍生模拟,
P0000041,H2601,AZTP,WSE,2025-02-02,17.1,16.88,0.9871,-0.0129,0,低,批次01-202502,16.64,0.24,衍生模拟,
P0000042,H2601,AZTP,WSF,2025-02-02,16.42,16.06,0.9781,-0.0219,1,低,批次01-202502,15.93,0.13,衍生模拟,
P0000043,H2602,YCL,WSA,2025-02-02,27.12,23.87,0.8802,-0.1198,3,中,批次01-202502,23.07,0.8,衍生模拟,
P0000044,H2602,YCL,WSB,2025-02-02,31.33,27.57,0.88,-0.12,3,中,批次01-202502,27.04,0.53,衍生模拟,
P0000045,H2602,ZZTP,WSC,2025-02-02,25.31,22.6,0.8929,-0.1071,3,中,批次01-202502,22.41,0.19,衍生模拟,
P0000046,H2602,ZZTP,WSD,2025-02-02,18.93,16.77,0.8859,-0.1141,3,中,批次01-202502,16.28,0.49,衍生模拟,
P0000047,H2602,AZTP,WSE,2025-02-02,18.76,18.53,0.9877,-0.0123,0,低,批次01-202502,18.15,0.38,衍生模拟,
P0000048,H2602,AZTP,WSF,2025-02-02,18.98,18.67,0.9837,-0.0163,0,低,批次01-202502,18.19,0.48,衍生模拟,
P0000049,H2603,YCL,WSA,2025-02-02,35.51,36.57,1.0299,0.0299,0,低,批次02-202502,36.35,0.22,衍生模拟,
P0000050,H2603,YCL,WSB,2025-02-02,32,32.86,1.0269,0.0269,0,低,批次02-202502,31.89,0.97,衍生模拟,
P0000051,H2603,ZZTP,WSC,2025-02-02,21.66,20.9,0.9649,-0.0351,1,低,批次02-202502,20.39,0.51,衍生模拟,
P0000052,H2603,ZZTP,WSD,2025-02-02,21.22,20.62,0.9717,-0.0283,1,低,批次02-202502,20.47,0.15,衍生模拟,
P0000053,H2603,AZTP,WSE,2025-02-02,17.17,16.16,0.9412,-0.0588,2,中,批次02-202502,16.05,0.11,衍生模拟,
P0000054,H2603,AZTP,WSF,2025-02-02,16.94,15.9,0.9386,-0.0614,2,中,批次02-202502,15.64,0.26,衍生模拟,
P0000055,H2604,YCL,WSA,2025-02-02,37.26,36.89,0.9901,-0.0099,0,低,批次02-202502,35.65,1.24,衍生模拟,
P0000056,H2604,YCL,WSB,2025-02-02,30.62,30.38,0.9922,-0.0078,0,低,批次02-202502,29.33,1.05,衍生模拟,
P0000057,H2604,ZZTP,WSC,2025-02-02,26.6,25.46,0.9571,-0.0429,1,低,批次02-202502,25.3,0.16,衍生模拟,
P0000058,H2604,ZZTP,WSD,2025-02-02,25.07,23.9,0.9533,-0.0467,1,低,批次02-202502,23.2,0.7,衍生模拟,
P0000059,H2604,AZTP,WSE,2025-02-02,20.08,20.39,1.0154,0.0154,0,低,批次02-202502,19.92,0.47,衍生模拟,
P0000060,H2604,AZTP,WSF,2025-02-02,18.05,18.53,1.0266,0.0266,0,低,批次02-202502,18.35,0.18,衍生模拟,
P0000061,H2605,YCL,WSA,2025-02-02,37.01,37.02,1.0003,0.0003,0,低,批次03-202502,36.34,0.68,衍生模拟,
P0000062,H2605,YCL,WSB,2025-02-02,33.08,33.05,0.9991,-0.0009,0,低,批次03-202502,32.31,0.74,衍生模拟,
P0000063,H2605,ZZTP,WSC,2025-02-02,26,26.3,1.0115,0.0115,0,低,批次03-202502,25.71,0.59,衍生模拟,
P0000064,H2605,ZZTP,WSD,2025-02-02,26.78,27.24,1.0172,0.0172,0,低,批次03-202502,26.76,0.48,衍生模拟,
P0000065,H2605,AZTP,WSE,2025-02-02,19.55,17.78,0.9095,-0.0905,2,中,批次03-202502,17.42,0.36,衍生模拟,
